Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	4.0	 "	"	4	 "	"	32768	 "	"	1024	 "	"	2.33008	 "	"	38.2772	 "	"	2.22821	 "	"	3.77559	 "	"	0.013152	 "	"	0.543747	 "	"	0.722927	 "	"	3.77563	 "	"	8	 "	"	18	 "	"	23	 "	"	13	 "	"	6	 "	"	2	 "
"	4.0	 "	"	8	 "	"	32768	 "	"	256	 "	"	1.61244	 "	"	40.3111	 "	"	1.5259	 "	"	1.554	 "	"	0.003904	 "	"	0.603288	 "	"	2.13873	 "	"	1.554	 "	"	9	 "	"	16	 "	"	19	 "	"	14	 "	"	5	 "	"	3	 "
"	4.0	 "	"	4	 "	"	8192	 "	"	256	 "	"	0.738422	 "	"	31.3724	 "	"	0.572203	 "	"	2.98458	 "	"	0.003936	 "	"	0.149787	 "	"	0.722927	 "	"	2.9846	 "	"	23	 "	"	13	 "	"	18	 "	"	7	 "	"	6	 "	"	3	 "
"	2.0	 "	"	8	 "	"	32768	 "	"	512	 "	"	1.75683	 "	"	28.1067	 "	"	1.67882	 "	"	2.25497	 "	"	0.00696	 "	"	1.13194	 "	"	2.13873	 "	"	2.25498	 "	"	8	 "	"	15	 "	"	17	 "	"	14	 "	"	4	 "	"	2	 "
"	2.0	 "	"	4	 "	"	32768	 "	"	512	 "	"	1.29082	 "	"	31.3204	 "	"	1.2084	 "	"	1.54799	 "	"	0.006976	 "	"	0.280594	 "	"	0.722927	 "	"	1.548	 "	"	7	 "	"	15	 "	"	18	 "	"	13	 "	"	4	 "	"	1	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.10585	 "	"	27.2115	 "	"	3.0403	 "	"	5.2495	 "	"	0.01312	 "	"	2.19547	 "	"	2.13873	 "	"	5.24953	 "	"	10	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	128	 "	"	0.592934	 "	"	33.2998	 "	"	0.50603	 "	"	1.1335	 "	"	0.002368	 "	"	0.0836139	 "	"	0.722927	 "	"	1.13351	 "	"	11	 "	"	11	 "	"	16	 "	"	6	 "	"	6	 "	"	2	 "
"	1.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.17277	 "	"	30.6912	 "	"	1.12491	 "	"	1.40772	 "	"	0.00696	 "	"	0.280081	 "	"	0.722927	 "	"	1.40774	 "	"	6	 "	"	13	 "	"	17	 "	"	8	 "	"	6	 "	"	1	 "
"	1.0	 "	"	4	 "	"	8192	 "	"	1024	 "	"	1.01453	 "	"	22.0712	 "	"	0.965137	 "	"	3.58203	 "	"	0.013104	 "	"	0.542721	 "	"	0.722927	 "	"	3.5821	 "	"	8	 "	"	10	 "	"	15	 "	"	6	 "	"	6	 "	"	2	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	64	 "	"	0.560104	 "	"	34.4169	 "	"	0.4732	 "	"	0.866395	 "	"	0.0016	 "	"	0.0507839	 "	"	0.722927	 "	"	0.866399	 "	"	11	 "	"	11	 "	"	16	 "	"	6	 "	"	6	 "	"	2	 "
"	1.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.43541	 "	"	26.6045	 "	"	1.38755	 "	"	2.44726	 "	"	0.013104	 "	"	0.542721	 "	"	0.722927	 "	"	2.44729	 "	"	6	 "	"	13	 "	"	17	 "	"	8	 "	"	6	 "	"	1	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.229	 "	"	31.3043	 "	"	1.12594	 "	"	3.1753	 "	"	0.007008	 "	"	0.281107	 "	"	0.722927	 "	"	3.17532	 "	"	11	 "	"	14	 "	"	19	 "	"	9	 "	"	6	 "	"	2	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	256	 "	"	0.658594	 "	"	31.2521	 "	"	0.57169	 "	"	1.78171	 "	"	0.003904	 "	"	0.149274	 "	"	0.722927	 "	"	1.78173	 "	"	11	 "	"	11	 "	"	16	 "	"	6	 "	"	6	 "	"	2	 "
"	1.0	 "	"	8	 "	"	8192	 "	"	128	 "	"	0.787891	 "	"	33.074	 "	"	0.756194	 "	"	0.878454	 "	"	0.00232	 "	"	0.333778	 "	"	2.13873	 "	"	0.878462	 "	"	8	 "	"	11	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
